question,row,col,correct
1,0,0,0
2,0,6,2
3,1,10,3
4,2,10,3
5,3,0,0
6,4,0,0
7,5,10,3
8,6,0,0
9,7,0,0
10,7,10,3
11,9,10,3
12,10,0,0
13,11,0,0
14,12,0,0
15,12,2,1
16,13,0,0
17,14,0,0
18,15,10,3
19,16,0,0
20,17,0,0
21,18,6,2
22,19,0,0
23,20,0,0
24,21,6,2
25,22,0,0
26,23,2,1
27,24,0,0
28,24,0,0
29,25,0,0
30,26,0,0
31,28,15,4
32,29,2,1
33,29,15,4
34,30,15,4
35,31,10,3
36,32,0,0
37,33,0,0
38,34,10,3
39,35,0,0
40,36,0,0
41,37,10,3
42,38,0,0
43,39,0,0
44,40,0,0
45,41,0,0
46,41,0,0
47,42,0,0
48,43,0,0
49,44,0,0
50,45,6,2
51,46,15,4
52,47,0,0
53,48,0,0
54,49,0,0
55,50,0,0
56,51,0,0
57,52,0,0
58,53,6,2
59,53,0,0
60,54,0,0
61,56,0,0
62,57,0,0
63,58,0,0
64,58,0,0
65,59,0,0
66,60,0,0
67,61,6,2
68,62,0,0
69,63,0,0
70,64,0,0
71,65,0,0
72,66,0,0
73,67,0,0
74,68,0,0
75,69,6,2
76,70,0,0
77,70,0,0
78,71,6,2
79,72,0,0
80,73,0,0
81,75,2,1
82,75,0,0
83,76,6,2
84,77,0,0
85,78,0,0
86,79,0,0
87,80,0,0
88,81,0,0
89,82,0,0
90,82,0,0
91,84,0,0
92,85,0,0
93,86,0,0
94,87,0,0
95,87,0,0
96,88,0,0
97,89,0,0
98,90,6,2
99,91,0,0
100,92,0,0
101,93,0,0
102,94,0,0
103,95,0,0
104,96,0,0
105,97,0,0
106,98,0,0
107,99,6,2
108,99,0,0
109,100,0,0
110,101,2,1
111,103,6,2
112,104,0,0
113,104,6,2
114,105,0,0
115,106,0,0
116,107,0,0
117,108,0,0
118,109,0,0
119,110,0,0
120,111,0,0
121,112,0,0
122,113,0,0
123,114,0,0
124,115,0,0
125,116,0,0
126,116,0,0
127,117,0,0
128,118,0,0
129,119,0,0
130,120,0,0
131,121,0,0
132,122,0,0
133,123,0,0
134,124,0,0
135,125,0,0
136,126,0,0
137,127,0,0
138,128,0,0
139,128,0,0
140,129,0,0
141,131,0,0
142,132,0,0
143,133,0,0
144,133,0,0
145,134,0,0
146,135,0,0
147,136,0,0
148,137,0,0
149,139,0,0
150,140,15,4
151,141,10,3
152,142,0,0
153,143,0,0
154,144,0,0
155,145,0,0
156,145,0,0
157,146,10,3
158,147,0,0
159,148,0,0
160,150,0,0
161,150,2,1
162,151,6,2
163,152,0,0
164,153,2,1
