question,checked
1,False
2,True
3,True
4,True
5,-
6,-
7,True
8,-
9,-
10,True
11,True
12,-
13,-
14,-
15,True
16,-
17,-
18,True
19,-
20,False
21,True
22,False
23,-
24,True
25,-
26,True
27,False
28,-
29,-
30,-
31,False
32,True
33,False
34,True
35,False
36,False
37,-
38,False
39,-
40,-
41,-
42,True
43,-
44,-
45,-
46,-
47,-
48,False
49,-
50,False
51,-
52,True
53,-
54,-
55,-
56,-
57,-
58,-
59,True
60,-
61,-
62,-
63,-
64,False
65,-
66,-
67,-
68,True
69,-
70,-
71,-
72,-
73,-
74,-
75,False
76,True
77,False
78,False
79,True
80,-
81,-
82,True
83,False
84,False
85,-
86,-
87,-
88,-
89,-
90,False
91,-
92,-
93,-
94,-
95,-
96,-
97,-
98,-
99,False
100,-
101,-
102,-
103,-
104,-
105,-
106,False
107,-
108,-
109,True
110,-
111,-
112,True
113,True
114,-
115,True
116,-
117,-
118,-
119,-
120,-
121,-
122,-
123,-
124,-
125,-
126,-
127,-
128,-
129,-
130,-
131,-
132,-
133,-
134,-
135,-
136,-
137,-
138,-
139,-
140,-
141,-
142,-
143,-
144,-
145,-
146,False
147,-
148,-
149,-
150,-
151,-
152,-
153,False
154,False
155,-
156,-
157,-
158,-
159,-
160,False
161,-
162,-
163,-
164,False
165,False
