file.name,question,checked
image0000013A.tif,1,False
image0000013A.tif,2,True
image0000013A.tif,3,True
image0000013A.tif,4,True
image0000013A.tif,5,-
image0000013A.tif,6,-
image0000013A.tif,7,True
image0000013A.tif,8,-
image0000013A.tif,9,-
image0000013A.tif,10,True
image0000013A.tif,11,True
image0000013A.tif,12,-
image0000013A.tif,13,-
image0000013A.tif,14,-
image0000013A.tif,15,True
image0000013A.tif,16,-
image0000013A.tif,17,-
image0000013A.tif,18,True
image0000013A.tif,19,-
image0000013A.tif,20,False
image0000013A.tif,21,True
image0000013A.tif,22,False
image0000013A.tif,23,-
image0000013A.tif,24,True
image0000013A.tif,25,-
image0000013A.tif,26,True
image0000013A.tif,27,False
image0000013A.tif,28,-
image0000013A.tif,29,-
image0000013A.tif,30,-
image0000013A.tif,31,False
image0000013A.tif,32,True
image0000013A.tif,33,False
image0000013A.tif,34,True
image0000013A.tif,35,False
image0000013A.tif,36,False
image0000013A.tif,37,-
image0000013A.tif,38,False
image0000013A.tif,39,-
image0000013A.tif,40,-
image0000013A.tif,41,-
image0000013A.tif,42,True
image0000013A.tif,43,-
image0000013A.tif,44,-
image0000013A.tif,45,-
image0000013A.tif,46,-
image0000013A.tif,47,-
image0000013A.tif,48,False
image0000013A.tif,49,-
image0000013A.tif,50,False
image0000013A.tif,51,-
image0000013A.tif,52,True
image0000013A.tif,53,-
image0000013A.tif,54,-
image0000013A.tif,55,-
image0000013A.tif,56,-
image0000013A.tif,57,-
image0000013A.tif,58,-
image0000013A.tif,59,True
image0000013A.tif,60,-
image0000013A.tif,61,-
image0000013A.tif,62,-
image0000013A.tif,63,-
image0000013A.tif,64,False
image0000013A.tif,65,-
image0000013A.tif,66,-
image0000013A.tif,67,-
image0000013A.tif,68,True
image0000013A.tif,69,-
image0000013A.tif,70,-
image0000013A.tif,71,-
image0000013A.tif,72,-
image0000013A.tif,73,-
image0000013A.tif,74,-
image0000013A.tif,75,False
image0000013A.tif,76,True
image0000013A.tif,77,False
image0000013A.tif,78,False
image0000013A.tif,79,True
image0000013A.tif,80,-
image0000013A.tif,81,-
image0000013A.tif,82,True
image0000013A.tif,83,False
image0000013A.tif,84,False
image0000013A.tif,85,-
image0000013A.tif,86,-
image0000013A.tif,87,-
image0000013A.tif,88,-
image0000013A.tif,89,-
image0000013A.tif,90,False
image0000013A.tif,91,-
image0000013A.tif,92,-
image0000013A.tif,93,-
image0000013A.tif,94,-
image0000013A.tif,95,-
image0000013A.tif,96,-
image0000013A.tif,97,-
image0000013A.tif,98,-
image0000013A.tif,99,False
image0000013A.tif,100,-
image0000013A.tif,101,-
image0000013A.tif,102,-
image0000013A.tif,103,-
image0000013A.tif,104,-
image0000013A.tif,105,-
image0000013A.tif,106,False
image0000013A.tif,107,-
image0000013A.tif,108,-
image0000013A.tif,109,True
image0000013A.tif,110,-
image0000013A.tif,111,-
image0000013A.tif,112,True
image0000013A.tif,113,True
image0000013A.tif,114,-
image0000013A.tif,115,True
image0000013A.tif,116,-
image0000013A.tif,117,-
image0000013A.tif,118,-
image0000013A.tif,119,-
image0000013A.tif,120,-
image0000013A.tif,121,-
image0000013A.tif,122,-
image0000013A.tif,123,-
image0000013A.tif,124,-
image0000013A.tif,125,-
image0000013A.tif,126,-
image0000013A.tif,127,-
image0000013A.tif,128,-
image0000013A.tif,129,-
image0000013A.tif,130,-
image0000013A.tif,131,-
image0000013A.tif,132,-
image0000013A.tif,133,-
image0000013A.tif,134,-
image0000013A.tif,135,-
image0000013A.tif,136,-
image0000013A.tif,137,-
image0000013A.tif,138,-
image0000013A.tif,139,-
image0000013A.tif,140,-
image0000013A.tif,141,-
image0000013A.tif,142,-
image0000013A.tif,143,-
image0000013A.tif,144,-
image0000013A.tif,145,-
image0000013A.tif,146,False
image0000013A.tif,147,-
image0000013A.tif,148,-
image0000013A.tif,149,-
image0000013A.tif,150,-
image0000013A.tif,151,-
image0000013A.tif,152,-
image0000013A.tif,153,False
image0000013A.tif,154,False
image0000013A.tif,155,-
image0000013A.tif,156,-
image0000013A.tif,157,-
image0000013A.tif,158,-
image0000013A.tif,159,-
image0000013A.tif,160,False
image0000013A.tif,161,-
image0000013A.tif,162,-
image0000013A.tif,163,-
image0000013A.tif,164,False
image0000013A.tif,165,False
